state,schools_per_10k
Johor,5704.321238325011
Kedah,6791.12554112554
Kelantan,6322.478157267674
Kuala Lumpur,2844.014510278114
Labuan,5555.555555555556
Melaka,6055.396370582617
Negeri Sembilan,7741.935483870968
Pahang,8895.815849418535
Perak,8608.678731270675
Perlis,7075.471698113207
Pulau Pinang,4432.102193835046
Putrajaya,4488.778054862843
Sabah,6931.751376195823
Sarawak,11588.562351072282
Selangor,2564.067741365964
Terengganu,8245.414705404966
