state,district,stage,sex,date,teachers
Johor,Batu Pahat,secondary,male,2021-01-01,764
Johor,Batu Pahat,secondary,male,2022-01-01,758
Johor,Johor Bahru,primary,both,2017-01-01,8880
Johor,Johor Bahru,primary,both,2018-01-01,9972
Johor,Johor Bahru,primary,both,2019-01-01,9778
Johor,Johor Bahru,primary,both,2020-01-01,10052
Johor,Johor Bahru,primary,both,2021-01-01,9962
Johor,Johor Bahru,primary,both,2022-01-01,9743
Johor,Johor Bahru,primary,female,2017-01-01,3533
Johor,Johor Bahru,primary,female,2017-01-01,3095
Johor,Johor Bahru,primary,female,2018-01-01,7395
Johor,Johor Bahru,primary,female,2019-01-01,7250
Johor,Johor Bahru,primary,female,2020-01-01,7437
Johor,Johor Bahru,primary,female,2021-01-01,7408
Johor,Johor Bahru,primary,female,2022-01-01,7305
Johor,Johor Bahru,primary,male,2017-01-01,1164
Johor,Johor Bahru,primary,male,2017-01-01,1088
Johor,Johor Bahru,primary,male,2018-01-01,2577
Johor,Johor Bahru,primary,male,2019-01-01,2528
Johor,Johor Bahru,primary,male,2020-01-01,2615
Johor,Johor Bahru,primary,male,2021-01-01,2554
Johor,Johor Bahru,primary,male,2022-01-01,2438
Johor,Johor Bahru,secondary,both,2017-01-01,7333
Johor,Johor Bahru,secondary,both,2018-01-01,7700
Johor,Johor Bahru,secondary,both,2019-01-01,7688
Johor,Johor Bahru,secondary,both,2020-01-01,7616
Johor,Johor Bahru,secondary,both,2021-01-01,7486
Johor,Johor Bahru,secondary,both,2022-01-01,7761
Johor,Johor Bahru,secondary,female,2017-01-01,3049
Johor,Johor Bahru,secondary,female,2017-01-01,2807
Johor,Johor Bahru,secondary,female,2018-01-01,6094
Johor,Johor Bahru,secondary,female,2019-01-01,6076
Johor,Johor Bahru,secondary,female,2020-01-01,6025
Johor,Johor Bahru,secondary,female,2021-01-01,5920
Johor,Johor Bahru,secondary,female,2022-01-01,6146
Johor,Johor Bahru,secondary,male,2017-01-01,779
Johor,Johor Bahru,secondary,male,2017-01-01,698
Johor,Johor Bahru,secondary,male,2018-01-01,1606
Johor,Johor Bahru,secondary,male,2019-01-01,1612
Johor,Johor Bahru,secondary,male,2020-01-01,1591
Johor,Johor Bahru,secondary,male,2021-01-01,1566
Johor,Johor Bahru,secondary,male,2022-01-01,1615
Johor,Kluang,primary,both,2017-01-01,2368
Johor,Kluang,primary,both,2018-01-01,2438
Johor,Kluang,primary,both,2019-01-01,2373
Johor,Kluang,primary,both,2020-01-01,2374
Johor,Kluang,primary,both,2021-01-01,2331
Johor,Kluang,primary,both,2022-01-01,2271
Johor,Kluang,primary,female,2017-01-01,1744
Johor,Kluang,primary,female,2018-01-01,1815
Johor,Kluang,primary,female,2019-01-01,1762
Johor,Kluang,primary,female,2020-01-01,1750
Johor,Kluang,primary,female,2021-01-01,1716
Johor,Kluang,primary,female,2022-01-01,1680
Johor,Kluang,primary,male,2017-01-01,624
Johor,Kluang,primary,male,2018-01-01,623
Johor,Kluang,primary,male,2019-01-01,611
Johor,Kluang,primary,male,2020-01-01,624
Johor,Kluang,primary,male,2021-01-01,615
Johor,Kluang,primary,male,2022-01-01,591
Johor,Kluang,secondary,both,2017-01-01,1992
Johor,Kluang,secondary,both,2018-01-01,1960
Johor,Kluang,secondary,both,2019-01-01,1960
Johor,Kluang,secondary,both,2020-01-01,1923
Johor,Kluang,secondary,both,2021-01-01,1866
Johor,Kluang,secondary,both,2022-01-01,1891
Johor,Kluang,secondary,female,2017-01-01,1316
Johor,Kluang,secondary,female,2018-01-01,1306
Johor,Kluang,secondary,female,2019-01-01,1322
Johor,Kluang,secondary,female,2020-01-01,1309
Johor,Kluang,secondary,female,2021-01-01,1272
Johor,Kluang,secondary,female,2022-01-01,1304
Johor,Kluang,secondary,male,2017-01-01,676
Johor,Kluang,secondary,male,2018-01-01,654
Johor,Kluang,secondary,male,2019-01-01,638
Johor,Kluang,secondary,male,2020-01-01,614
Johor,Kluang,secondary,male,2021-01-01,594
Johor,Kluang,secondary,male,2022-01-01,587
Johor,Kota Tinggi,primary,both,2017-01-01,1782
Johor,Kota Tinggi,primary,both,2018-01-01,2213
Johor,Kota Tinggi,primary,both,2019-01-01,2150
Johor,Kota Tinggi,primary,both,2020-01-01,2181
Johor,Kota Tinggi,primary,both,2021-01-01,2145
Johor,Kota Tinggi,primary,both,2022-01-01,2103
Johor,Kota Tinggi,primary,female,2017-01-01,1152
Johor,Kota Tinggi,primary,female,2018-01-01,1439
Johor,Kota Tinggi,primary,female,2019-01-01,1398
Johor,Kota Tinggi,primary,female,2020-01-01,1412
Johor,Kota Tinggi,primary,female,2021-01-01,1416
Johor,Kota Tinggi,primary,female,2022-01-01,1432
Johor,Kota Tinggi,primary,male,2017-01-01,630
Johor,Kota Tinggi,primary,male,2018-01-01,774
Johor,Kota Tinggi,primary,male,2019-01-01,752
Johor,Kota Tinggi,primary,male,2020-01-01,769
Johor,Kota Tinggi,primary,male,2021-01-01,729
Johor,Kota Tinggi,primary,male,2022-01-01,671
Johor,Kota Tinggi,secondary,both,2017-01-01,1497
Johor,Kota Tinggi,secondary,both,2018-01-01,1799
Johor,Kota Tinggi,secondary,both,2019-01-01,1772
Johor,Kota Tinggi,secondary,both,2020-01-01,1740
Johor,Kota Tinggi,secondary,both,2021-01-01,1735
Johor,Kota Tinggi,secondary,both,2022-01-01,1764
Johor,Kota Tinggi,secondary,female,2017-01-01,959
Johor,Kota Tinggi,secondary,female,2018-01-01,1187
Johor,Kota Tinggi,secondary,female,2019-01-01,1169
Johor,Kota Tinggi,secondary,female,2020-01-01,1162
Johor,Kota Tinggi,secondary,female,2021-01-01,1164
Johor,Kota Tinggi,secondary,female,2022-01-01,1190
Johor,Kota Tinggi,secondary,male,2017-01-01,538
Johor,Kota Tinggi,secondary,male,2018-01-01,612
Johor,Kota Tinggi,secondary,male,2019-01-01,603
Johor,Kota Tinggi,secondary,male,2020-01-01,578
Johor,Kota Tinggi,secondary,male,2021-01-01,571
Johor,Kota Tinggi,secondary,male,2022-01-01,574
Johor,Kulai,primary,both,2017-01-01,2350
Johor,Kulai,primary,both,2018-01-01,1613
Johor,Kulai,primary,both,2019-01-01,1587
Johor,Kulai,primary,both,2020-01-01,1591
Johor,Kulai,primary,both,2021-01-01,1588
Johor,Kulai,primary,both,2022-01-01,1547
Johor,Kulai,primary,female,2017-01-01,1720
Johor,Kulai,primary,female,2018-01-01,1182
Johor,Kulai,primary,female,2019-01-01,1168
Johor,Kulai,primary,female,2020-01-01,1167
Johor,Kulai,primary,female,2021-01-01,1168
Johor,Kulai,primary,female,2022-01-01,1149
Johor,Kulai,primary,male,2017-01-01,630
Johor,Kulai,primary,male,2018-01-01,431
Johor,Kulai,primary,male,2019-01-01,419
Johor,Kulai,primary,male,2020-01-01,424
Johor,Kulai,primary,male,2021-01-01,420
Johor,Kulai,primary,male,2022-01-01,398
Johor,Kulai,secondary,both,2017-01-01,1718
Johor,Kulai,secondary,both,2018-01-01,1231
Johor,Kulai,secondary,both,2019-01-01,1247
Johor,Kulai,secondary,both,2020-01-01,1229
Johor,Kulai,secondary,both,2021-01-01,1203
Johor,Kulai,secondary,both,2022-01-01,1248
Johor,Kulai,secondary,female,2017-01-01,1264
Johor,Kulai,secondary,female,2018-01-01,907
Johor,Kulai,secondary,female,2019-01-01,934
Johor,Kulai,secondary,female,2020-01-01,921
Johor,Kulai,secondary,female,2021-01-01,914
Johor,Kulai,secondary,female,2022-01-01,950
Johor,Kulai,secondary,male,2017-01-01,454
Johor,Kulai,secondary,male,2018-01-01,324
Johor,Kulai,secondary,male,2019-01-01,313
Johor,Kulai,secondary,male,2020-01-01,308
Johor,Kulai,secondary,male,2021-01-01,289
Johor,Kulai,secondary,male,2022-01-01,298
Johor,Mersing,primary,both,2017-01-01,821
Johor,Mersing,primary,both,2018-01-01,855
Johor,Mersing,primary,both,2019-01-01,824
Johor,Mersing,primary,both,2020-01-01,825
Johor,Mersing,primary,both,2021-01-01,818
Johor,Mersing,primary,both,2022-01-01,803
Johor,Mersing,primary,female,2017-01-01,498
Johor,Mersing,primary,female,2018-01-01,518
Johor,Mersing,primary,female,2019-01-01,496
Johor,Mersing,primary,female,2020-01-01,494
Johor,Mersing,primary,female,2021-01-01,508
Johor,Mersing,primary,female,2022-01-01,515
Johor,Mersing,primary,male,2017-01-01,323
Johor,Mersing,primary,male,2018-01-01,337
Johor,Mersing,primary,male,2019-01-01,328
Johor,Mersing,primary,male,2020-01-01,331
Johor,Mersing,primary,male,2021-01-01,310
Johor,Mersing,primary,male,2022-01-01,288
Johor,Mersing,secondary,both,2017-01-01,606
Johor,Mersing,secondary,both,2018-01-01,604
Johor,Mersing,secondary,both,2019-01-01,610
Johor,Mersing,secondary,both,2020-01-01,597
Johor,Mersing,secondary,both,2021-01-01,578
Johor,Mersing,secondary,both,2022-01-01,558
Johor,Mersing,secondary,female,2017-01-01,396
Johor,Mersing,secondary,female,2018-01-01,400
Johor,Mersing,secondary,female,2019-01-01,408
Johor,Mersing,secondary,female,2020-01-01,408
Johor,Mersing,secondary,female,2021-01-01,399
Johor,Mersing,secondary,female,2022-01-01,388
Johor,Mersing,secondary,male,2017-01-01,210
Johor,Mersing,secondary,male,2018-01-01,204
Johor,Mersing,secondary,male,2019-01-01,202
Johor,Mersing,secondary,male,2020-01-01,189
Johor,Mersing,secondary,male,2021-01-01,179
Johor,Mersing,secondary,male,2022-01-01,170
Johor,Muar,primary,both,2017-01-01,2384
Johor,Muar,primary,both,2018-01-01,2425
Johor,Muar,primary,both,2019-01-01,2350
Johor,Muar,primary,both,2020-01-01,2331
Johor,Muar,primary,both,2021-01-01,2298
Johor,Muar,primary,both,2022-01-01,2237
Johor,Muar,primary,female,2017-01-01,1694
Johor,Muar,primary,female,2018-01-01,1742
Johor,Muar,primary,female,2019-01-01,1687
Johor,Muar,primary,female,2020-01-01,1673
Johor,Muar,primary,female,2021-01-01,1651
Johor,Muar,primary,female,2022-01-01,1607
Johor,Muar,primary,male,2017-01-01,690
Johor,Muar,primary,male,2018-01-01,683
Johor,Muar,primary,male,2019-01-01,663
Johor,Muar,primary,male,2020-01-01,658
Johor,Muar,primary,male,2021-01-01,647
Johor,Muar,primary,male,2022-01-01,630
Johor,Muar,secondary,both,2017-01-01,1814
Johor,Muar,secondary,both,2018-01-01,1849
